fig_num,fig_name,num_parts,age_group_heuristic
fig-000351,"Man, Blue Jacket with Zipper, Black Legs, White Helmet with Visor",5,Adult-coded
fig-000352,"Man, White Torso with Shell Logo, Blue Legs, Red Hat",4,Adult-coded
fig-000353,"Racer, Blue Jacket with Octan Logo, Blue Legs, White Helmet with Visor",5,Unspecified
fig-000354,"Man, Plain Red, Black Helmet with Visor",5,Adult-coded
fig-000355,Sykor,4,Unspecified
fig-000356,Aquashark Hybrid,6,Unspecified
fig-000357,Docs,5,Unspecified
fig-000358,"Racer, Red Jacket with Octan Logo and 'RACING', Red Legs, White Helmet with Black Visor, Sunglasses",5,Unspecified
fig-000359,Johnny Thunder (Desert),4,Unspecified
fig-000360,"Racer, Red Jacket with Octan Logo and 'RACING', Red Legs, White Helmet with Trans-Light Blue Visor, Sunglasses",5,Unspecified
fig-000361,"Astronaut, White, Blue Cap, Headset",4,Unspecified
fig-000362,"Ninja, Dark Gray",4,Unspecified
fig-000363,"Racer, White Jacket with 2 Stars, Black Helmet with Visor, Sunglasses",6,Unspecified
fig-000364,"Santa, Plain Red with White Hips",5,Unspecified
fig-000365,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Blue Legs, Red Hard Hat, Moustache and Stubble",4,Unspecified
fig-000366,Gladiator,4,Unspecified
fig-000367,"Racer, White Shirt with Shell Logo, Black Legs, Red Helmet with Visor",5,Unspecified
fig-000368,Ghost Ninja Attila / Ming / Spyder,4,Unspecified
